user_id,Dinero gastado,Cantidad de items,% de recomendación
12das,"44,96",400,"100,00 %"
12DeAgostoAs12HRSe26MIN,"280,78",1225,"100,00 %"
163050995,"0,00",169,"100,00 %"
17291799,"154,92",361,"100,00 %"
2608739,"24,98",25,"100,00 %"
2EzRogueDH,"99,96",144,"100,00 %"
2lstgun,"237,84",961,"100,00 %"
320RustPro,"29,97",121,"100,00 %"
33442,"14,99",49,"100,00 %"
3Ldota,"29,98",36,"100,00 %"
4301945,"63,93",169,"100,00 %"
4545648,"19,98",64,"100,00 %"
61241571,"149,92",441,"100,00 %"
678rtv45,"177,88",1225,"100,00 %"
72947282842,"34,98",4,"100,00 %"
735102120,"14,99",81,"100,00 %"
740449400,"319,83",784,"100,00 %"
76561197960608571,"135,84",441,"100,00 %"
76561197960743001,"74,90",289,"100,00 %"
76561197963392788,"471,73",1600,"100,00 %"
76561197966590415,"1908,62",28224,"100,00 %"
76561197967118917,"94,93",225,"100,00 %"
76561197967253452,"465,71",1521,"100,00 %"
76561197969663913,"110,90",729,"100,00 %"
76561197970895200,"670,62",3364,"100,00 %"
76561197974754753,"315,81",729,"100,00 %"
76561197979007418,"174,89",361,"100,00 %"
76561197995098683,"1474,19",10404,"100,00 %"
76561197998812220,"316,77",1600,"100,00 %"
76561197999753609,"735,69",2916,"100,00 %"
76561198001898634,"713,50",8836,"100,00 %"
76561198004173845,"54,97",49,"100,00 %"
76561198006310647,"485,72",1600,"100,00 %"
76561198006532480,"854,44",5041,"100,00 %"
76561198008727561,"49,96",64,"100,00 %"
76561198009855249,"4,99",4,"100,00 %"
76561198015158481,"64,97",16,"100,00 %"
76561198016514671,"1345,31",9604,"100,00 %"
76561198021928011,"134,94",121,"100,00 %"
76561198022423117,"39,98",16,"100,00 %"
76561198022559040,"109,95",81,"100,00 %"
76561198024559632,"39,97",81,"100,00 %"
76561198027401742,"334,87",529,"100,00 %"
76561198027863392,"39,98",196,"100,00 %"
76561198028107980,"545,64",2116,"100,00 %"
76561198030801962,"99,93",100,"100,00 %"
76561198030972339,"299,80",841,"100,00 %"
76561198031162093,"960,48",6084,"100,00 %"
76561198032569786,"279,86",289,"100,00 %"
76561198033301141,"159,94",361,"100,00 %"
76561198034438267,"279,84",1156,"100,00 %"
76561198034829571,"44,97",16,"100,00 %"
76561198034977201,"405,80",1089,"100,00 %"
76561198035781832,"366,81",1600,"100,00 %"
76561198036786556,"64,96",64,"100,00 %"
76561198037293725,"154,92",169,"100,00 %"
76561198037711823,"480,64",1936,"100,00 %"
76561198038055981,"624,71",2025,"100,00 %"
76561198038075062,"284,85",484,"100,00 %"
76561198038258914,"842,51",7225,"100,00 %"
76561198038263531,"76,97",4096,"100,00 %"
76561198038904573,"440,72",1089,"100,00 %"
76561198039780217,"143,90",256,"100,00 %"
76561198039957481,"1298,95",16641,"100,00 %"
76561198040197777,"244,88",361,"100,00 %"
76561198040335971,"59,96",100,"100,00 %"
76561198041350926,"342,76",900,"100,00 %"
76561198041774278,"9,99",36,"100,00 %"
76561198041966846,"196,89",784,"100,00 %"
76561198042359407,"159,90",400,"100,00 %"
76561198042790533,"127,91",400,"100,00 %"
76561198042926871,"319,79",676,"100,00 %"
76561198042997704,"142,88",1296,"100,00 %"
76561198043052779,"236,81",961,"100,00 %"
76561198043795163,"9,99",64,"100,00 %"
76561198044577103,"254,88",361,"100,00 %"
76561198044888778,"37,96",169,"100,00 %"
76561198045230293,"211,85",576,"100,00 %"
76561198045421572,"29,98",676,"100,00 %"
76561198045635178,"34,98",289,"100,00 %"
76561198045638432,"753,55",3721,"100,00 %"
76561198046049932,"87,94",196,"100,00 %"
76561198046190974,"0,00",100,"100,00 %"
76561198046718131,"19,98",25,"100,00 %"
76561198046825758,"44,97",2601,"100,00 %"
76561198046862962,"312,88",7225,"100,00 %"
76561198047525161,"309,79",1296,"100,00 %"
76561198047772662,"24,98",9,"100,00 %"
76561198047907062,"349,83",729,"100,00 %"
76561198048058129,"19,99",121,"100,00 %"
76561198048492223,"0,00",4,"100,00 %"
76561198048504173,"149,91",361,"100,00 %"
76561198048911821,"444,84",576,"100,00 %"
76561198048923072,"463,75",1936,"100,00 %"
76561198049136422,"0,00",16,"100,00 %"
76561198049234870,"299,84",3844,"100,00 %"
76561198049338710,"85,92",121,"100,00 %"
76561198049415770,"225,83",576,"100,00 %"
76561198050156029,"169,95",64,"100,00 %"
76561198050266990,"174,89",484,"100,00 %"
76561198050375231,"64,93",961,"100,00 %"
76561198050768633,"34,96",64,"100,00 %"
76561198051362094,"325,75",784,"100,00 %"
76561198051382516,"144,91",484,"100,00 %"
76561198051672637,"104,95",324,"100,00 %"
76561198051769570,"445,79",900,"100,00 %"
76561198051809340,"39,98",25,"100,00 %"
76561198051911068,"29,98",64,"100,00 %"
76561198052666922,"255,83",784,"100,00 %"
76561198053351607,"669,66",2401,"100,00 %"
76561198053521602,"81,95",324,"100,00 %"
76561198053667228,"0,00",400,"100,00 %"
76561198053858353,"14,99",25,"100,00 %"
76561198054088781,"317,79",529,"100,00 %"
76561198054200662,"394,80",1156,"100,00 %"
76561198054263515,"257,79",784,"100,00 %"
76561198054445752,"49,98",25,"100,00 %"
76561198054786904,"9,99",400,"100,00 %"
76561198054828064,"44,97",49,"100,00 %"
76561198054997013,"257,82",225,"100,00 %"
76561198055678580,"1086,34",9025,"100,00 %"
76561198055876294,"399,77",1369,"100,00 %"
76561198055907480,"178,93",289,"100,00 %"
76561198056554213,"473,64",2704,"100,00 %"
76561198056658594,"14,99",1,"100,00 %"
76561198056787444,"634,80",1296,"100,00 %"
76561198056915834,"39,98",4,"100,00 %"
76561198056976935,"139,96",121,"100,00 %"
76561198057060736,"82,94",361,"100,00 %"
76561198057612284,"0,00",144,"100,00 %"
76561198058065379,"29,99",25,"100,00 %"
76561198058123182,"716,52",4900,"100,00 %"
76561198058424536,"0,00",36,"100,00 %"
76561198058657792,"330,80",1849,"100,00 %"
76561198058661221,"15,98",9,"100,00 %"
76561198058703587,"23,98",16,"100,00 %"
76561198058868190,"104,92",324,"100,00 %"
76561198058872726,"114,93",144,"100,00 %"
76561198058892591,"0,99",49,"100,00 %"
76561198059013979,"315,77",3364,"100,00 %"
76561198059542861,"14,99",121,"100,00 %"
76561198059572487,"14,99",100,"100,00 %"
76561198059867666,"41,97",100,"100,00 %"
76561198060040264,"177,93",121,"100,00 %"
76561198060239835,"104,94",484,"100,00 %"
76561198060357315,"49,97",225,"100,00 %"
76561198060647143,"437,66",4356,"100,00 %"
76561198061097866,"350,14",3969,"100,00 %"
76561198061408032,"194,89",441,"100,00 %"
76561198061502870,"656,64",2916,"100,00 %"
76561198061516951,"100,86",289,"100,00 %"
76561198061794492,"224,86",484,"100,00 %"
76561198061800268,"41,97",676,"100,00 %"
76561198061805148,"611,66",2704,"100,00 %"
76561198061818198,"199,86",441,"100,00 %"
76561198061846218,"54,97",196,"100,00 %"
76561198061910506,,4,"100,00 %"
76561198062005261,"119,97",361,"100,00 %"
76561198062034676,"14,99",81,"100,00 %"
76561198062152744,,4,"100,00 %"
76561198062331003,"160,85",648,"100,00 %"
76561198062422965,"34,98",400,"100,00 %"
76561198062597659,"19,99",169,"100,00 %"
76561198062598752,"99,93",121,"100,00 %"
76561198062647126,,1,"100,00 %"
76561198062725467,"0,00",841,"100,00 %"
76561198062891102,"14,99",32,"100,00 %"
76561198062936111,"4,99",64,"100,00 %"
76561198063036360,"379,88",1444,"100,00 %"
76561198063251011,"319,87",841,"100,00 %"
76561198063592925,"14,99",36,"100,00 %"
76561198063622701,"232,88",400,"100,00 %"
76561198064056486,"179,91",441,"100,00 %"
76561198064152834,"309,87",196,"100,00 %"
76561198064199011,"295,75",2209,"100,00 %"
76561198064243876,"131,83",1936,"100,00 %"
76561198064281993,"76,93",361,"100,00 %"
76561198064445006,"224,87",361,"100,00 %"
76561198064663093,"109,93",441,"100,00 %"
76561198064739584,"0,00",9,"100,00 %"
76561198064838729,"29,97",49,"100,00 %"
76561198064849762,"154,90",961,"100,00 %"
76561198065001162,"39,99",225,"100,00 %"
76561198065054063,"64,96",256,"100,00 %"
76561198065300159,"114,93",256,"100,00 %"
76561198065351104,"254,85",1681,"100,00 %"
76561198065446443,"19,99",16,"100,00 %"
76561198065493192,"74,95",400,"100,00 %"
76561198065598964,"64,96",36,"100,00 %"
76561198065612687,"104,95",169,"100,00 %"
76561198065714626,"419,90",576,"100,00 %"
76561198065890757,"232,82",256,"100,00 %"
76561198066001199,"59,95",289,"100,00 %"
76561198066084176,"47,96",100,"100,00 %"
76561198066170298,"34,97",64,"100,00 %"
76561198066250799,"0,00",64,"100,00 %"
76561198066885306,"129,92",484,"100,00 %"
76561198066950280,"4,99",16,"100,00 %"
76561198067034890,"19,98",49,"100,00 %"
76561198067255082,"109,95",3364,"100,00 %"
76561198067320451,"145,88",529,"100,00 %"
76561198067505065,"482,71",1936,"100,00 %"
76561198067514928,"0,00",36,"100,00 %"
76561198067713802,"429,76",2116,"100,00 %"
76561198067714968,"74,97",49,"100,00 %"
76561198067824493,"70,93",121,"100,00 %"
76561198068298463,"115,94",324,"100,00 %"
76561198068329154,"0,00",121,"100,00 %"
76561198068434328,"160,91",1936,"100,00 %"
76561198068506683,"0,00",16,"100,00 %"
76561198068572619,"270,85",484,"100,00 %"
76561198068647197,"49,97",144,"100,00 %"
76561198068765906,"88,93",676,"100,00 %"
76561198068939671,"41,96",81,"100,00 %"
76561198068981362,"204,83",1089,"100,00 %"
76561198068984689,"501,65",3481,"100,00 %"
76561198069089973,"9,99",64,"100,00 %"
76561198069172038,"74,94",121,"100,00 %"
76561198069178587,"29,97",16,"100,00 %"
76561198069231817,"151,90",196,"100,00 %"
76561198069330970,"0,00",9,"100,00 %"
76561198069475151,"79,95",169,"100,00 %"
76561198069615116,"426,81",841,"100,00 %"
76561198069688746,"124,93",961,"100,00 %"
76561198070074638,"203,82",529,"100,00 %"
76561198070372487,"194,93",225,"100,00 %"
76561198070400539,"89,95",144,"100,00 %"
76561198070492901,"4,99",2450,"100,00 %"
76561198070620821,"19,99",9,"100,00 %"
76561198070633333,"19,98",4,"100,00 %"
76561198070637637,"14,99",1,"100,00 %"
76561198070651185,"9,99",16,"100,00 %"
76561198070702618,"75,96",81,"100,00 %"
76561198070987540,"169,87",361,"100,00 %"
76561198071028681,"723,54",2500,"100,00 %"
76561198071089080,"0,00",16,"100,00 %"
76561198071117429,"30,97",100,"100,00 %"
76561198071270860,"19,98",64,"100,00 %"
76561198071318209,"119,94",196,"100,00 %"
76561198071337828,"233,84",484,"100,00 %"
76561198071374270,"14,99",9,"100,00 %"
76561198071480873,"174,81",676,"100,00 %"
76561198071680931,"19,99",49,"100,00 %"
76561198071949176,"19,98",9,"100,00 %"
76561198071991173,"0,00",49,"100,00 %"
76561198072030570,"19,99",49,"100,00 %"
76561198072151803,"94,93",64,"100,00 %"
76561198072207814,"52,96",256,"100,00 %"
76561198072365752,"0,00",1,"100,00 %"
76561198072499799,"0,00",81,"100,00 %"
76561198072508964,"14,99",16,"100,00 %"
76561198072567851,"0,00",4,"100,00 %"
76561198072695987,"29,98",49,"100,00 %"
76561198072747255,"14,99",9,"100,00 %"
76561198072782272,"54,97",49,"100,00 %"
76561198072838748,"0,00",729,"100,00 %"
76561198072852429,"29,98",144,"100,00 %"
76561198072916829,"34,99",36,"100,00 %"
76561198072940682,"19,99",81,"100,00 %"
76561198072942552,"75,92",144,"100,00 %"
76561198073269017,"85,95",121,"100,00 %"
76561198073282104,"149,92",289,"100,00 %"
76561198073407610,"34,98",100,"100,00 %"
76561198073587958,"223,85",1521,"100,00 %"
76561198073589943,"526,62",5329,"100,00 %"
76561198073733242,"337,83",1089,"100,00 %"
76561198073818391,"12,97",361,"100,00 %"
76561198074006716,"119,96",100,"100,00 %"
76561198074122571,,1,"100,00 %"
76561198074200011,"21,98",16,"100,00 %"
76561198074281317,"59,96",196,"100,00 %"
76561198074356093,"34,98",196,"100,00 %"
76561198074401253,"9,98",16,"100,00 %"
76561198074414765,"94,95",324,"100,00 %"
76561198074499762,"69,96",361,"100,00 %"
76561198074519984,"29,98",9,"100,00 %"
76561198074873424,"34,98",36,"100,00 %"
76561198075226289,"39,99",16,"100,00 %"
76561198075559668,"0,00",49,"100,00 %"
76561198075674170,"0,00",64,"100,00 %"
76561198075741467,"74,96",36,"100,00 %"
76561198075836652,"24,98",9,"100,00 %"
76561198075920681,"224,91",2704,"100,00 %"
76561198076076634,"0,00",1,"100,00 %"
76561198076217855,"114,93",169,"100,00 %"
76561198076271965,"89,94",841,"100,00 %"
76561198076284786,"54,97",49,"100,00 %"
76561198076299728,"14,99",9,"100,00 %"
76561198076357381,"547,69",2916,"100,00 %"
76561198076492918,"109,95",64,"100,00 %"
76561198076539681,"0,00",81,"100,00 %"
76561198076636927,"81,93",100,"100,00 %"
76561198076762909,"34,98",25,"100,00 %"
76561198076843838,"49,97",49,"100,00 %"
76561198076844104,"0,00",4,"100,00 %"
76561198076866164,"74,98",324,"100,00 %"
76561198076909484,"55,96",121,"100,00 %"
76561198077195459,"65,94",441,"100,00 %"
76561198077380459,"14,99",9,"100,00 %"
76561198077576855,"309,74",1849,"100,00 %"
76561198077832734,"129,92",144,"100,00 %"
76561198077971454,"448,71",3364,"100,00 %"
76561198077992470,"50,94",625,"100,00 %"
76561198078059717,"32,97",256,"100,00 %"
76561198078078491,"144,90",576,"100,00 %"
76561198078480900,"54,96",169,"100,00 %"
76561198078573640,"34,98",49,"100,00 %"
76561198078614334,"84,96",144,"100,00 %"
76561198078646194,"74,94",324,"100,00 %"
76561198078649960,"144,94",900,"100,00 %"
76561198078746179,"14,99",4,"100,00 %"
76561198078752334,"14,99",64,"100,00 %"
76561198078807139,"0,00",196,"100,00 %"
76561198078812809,"27,98",81,"100,00 %"
76561198078904010,"0,00",64,"100,00 %"
76561198078911240,,1,"100,00 %"
76561198078917864,"19,99",225,"100,00 %"
76561198079003665,"19,99",100,"100,00 %"
76561198079159782,"79,97",81,"100,00 %"
76561198079197993,"24,98",49,"100,00 %"
76561198079254609,"492,64",3364,"100,00 %"
76561198079324079,"154,93",121,"100,00 %"
76561198079337749,"214,89",225,"100,00 %"
76561198079339771,"201,87",961,"100,00 %"
76561198079480947,"192,86",324,"100,00 %"
76561198079783937,"19,99",4,"100,00 %"
76561198079797122,"29,98",16,"100,00 %"
76561198079828878,"16,98",49,"100,00 %"
76561198079834390,"95,95",6084,"100,00 %"
76561198079999702,"9,99",49,"100,00 %"
76561198080075902,"34,98",100,"100,00 %"
76561198080292523,"0,00",144,"100,00 %"
76561198080317444,"0,00",81,"100,00 %"
76561198080348540,"79,96",64,"100,00 %"
76561198080478744,"14,99",196,"100,00 %"
76561198080481352,"134,95",225,"100,00 %"
76561198080966233,"638,54",2025,"100,00 %"
76561198081060594,"26,98",36,"100,00 %"
76561198081089957,"44,97",196,"100,00 %"
76561198081125684,"145,90",1764,"100,00 %"
76561198081172237,"0,00",289,"100,00 %"
76561198081189561,"14,99",25,"100,00 %"
76561198081225443,"454,64",1521,"100,00 %"
76561198081353023,"216,85",576,"100,00 %"
76561198081388398,"39,98",36,"100,00 %"
76561198081480318,"0,99",49,"100,00 %"
76561198081649428,"69,96",529,"100,00 %"
76561198081870185,"49,97",16,"100,00 %"
76561198081875589,"119,94",1296,"100,00 %"
76561198082003335,"310,79",2209,"100,00 %"
76561198082129629,"19,99",4,"100,00 %"
76561198082467074,"217,93",289,"100,00 %"
76561198082474729,"79,97",36,"100,00 %"
76561198082647315,"60,95",81,"100,00 %"
76561198082666592,"94,94",625,"100,00 %"
76561198082737449,"54,96",121,"100,00 %"
76561198082751450,"54,97",400,"100,00 %"
76561198082967159,"242,90",784,"100,00 %"
76561198083101258,"0,00",16,"100,00 %"
76561198083278670,"34,98",121,"100,00 %"
76561198083365064,"4,99",1,"100,00 %"
76561198083486648,"59,96",3721,"100,00 %"
76561198083585894,,1,"100,00 %"
76561198083635483,"139,93",81,"100,00 %"
76561198083658380,"34,98",25,"100,00 %"
76561198083717613,"224,89",144,"100,00 %"
76561198083754978,"185,92",121,"100,00 %"
76561198084127598,"34,97",400,"100,00 %"
76561198084140838,"19,98",1936,"100,00 %"
76561198084303907,"49,97",169,"100,00 %"
76561198084406709,"198,87",225,"100,00 %"
76561198084493262,"34,98",49,"100,00 %"
76561198084947043,"49,97",64,"100,00 %"
76561198084948394,"19,99",196,"100,00 %"
76561198085107888,"194,90",400,"100,00 %"
76561198085183243,"89,94",400,"100,00 %"
76561198085411705,,1,"100,00 %"
76561198085521450,"14,99",9,"100,00 %"
76561198085793604,"249,92",576,"100,00 %"
76561198085796003,"204,89",361,"100,00 %"
76561198085854920,"15,97",16,"100,00 %"
76561198085878594,"188,85",900,"100,00 %"
76561198085881404,"432,78",1600,"100,00 %"
76561198086311312,"34,98",121,"100,00 %"
76561198086424558,"134,97",36,"100,00 %"
76561198086629867,"507,58",4624,"100,00 %"
76561198086661632,"159,92",441,"100,00 %"
76561198086842861,"0,00",1,"100,00 %"
76561198086966342,"0,00",100,"100,00 %"
76561198086988105,"19,99",196,"100,00 %"
76561198087157968,"162,91",625,"100,00 %"
76561198087161894,"0,00",16,"100,00 %"
76561198087237984,"109,95",484,"100,00 %"
76561198087279731,"59,99",36,"100,00 %"
76561198087345682,"169,95",144,"100,00 %"
76561198087380689,"19,99",9,"100,00 %"
76561198087391492,"0,00",36,"100,00 %"
76561198087445940,"0,00",121,"100,00 %"
76561198087469366,"29,98",64,"100,00 %"
76561198087534380,"160,91",841,"100,00 %"
76561198087594857,"74,96",256,"100,00 %"
76561198087717668,"163,90",256,"100,00 %"
76561198087836043,"0,00",81,"100,00 %"
76561198087994542,"0,00",100,"100,00 %"
76561198088003895,"14,99",196,"100,00 %"
76561198088045830,"320,82",1369,"100,00 %"
76561198088052883,"114,94",225,"100,00 %"
76561198088367955,"19,99",16,"100,00 %"
76561198088700626,"54,96",225,"100,00 %"
76561198088743596,"2,99",256,"100,00 %"
76561198088751275,"19,99",9,"100,00 %"
76561198088854011,"0,00",4,"100,00 %"
76561198088857515,"754,72",1521,"100,00 %"
76561198089007932,"64,97",64,"100,00 %"
76561198089025822,"0,00",324,"100,00 %"
76561198089026473,"29,97",961,"100,00 %"
76561198089195777,"157,89",225,"100,00 %"
76561198089271904,"19,99",196,"100,00 %"
76561198089576595,"76,95",256,"100,00 %"
76561198089823257,"77,94",81,"100,00 %"
76561198089826024,"19,99",25,"100,00 %"
76561198089861671,"49,97",361,"100,00 %"
76561198089915927,"29,98",144,"100,00 %"
76561198090216265,"324,77",3600,"100,00 %"
76561198090222300,"19,99",36,"100,00 %"
76561198090315264,"14,99",225,"100,00 %"
76561198090548543,"310,87",1089,"100,00 %"
76561198090573475,"9,99",625,"100,00 %"
76561198090578159,"0,00",36,"100,00 %"
76561198090629940,"34,98",81,"100,00 %"
76561198091097773,"194,88",676,"100,00 %"
76561198091325036,"29,98",121,"100,00 %"
76561198091378623,"39,96",169,"100,00 %"
76561198091488628,,1,"100,00 %"
76561198091555688,"0,00",484,"100,00 %"
76561198091636035,"108,93",225,"100,00 %"
76561198091779143,"184,93",144,"100,00 %"
76561198091787257,"19,99",324,"100,00 %"
76561198091872904,"79,98",441,"100,00 %"
76561198091947429,,1,"100,00 %"
76561198092020961,"57,97",225,"100,00 %"
76561198092022514,"92,93",1800,"100,00 %"
76561198092121309,"95,95",100,"100,00 %"
76561198092242919,"47,96",121,"100,00 %"
76561198092440135,"431,65",2025,"100,00 %"
76561198092591927,"227,92",484,"100,00 %"
76561198092695661,"44,97",169,"100,00 %"
76561198092814591,"0,00",36,"100,00 %"
76561198092973654,,1,"100,00 %"
76561198093043200,"29,99",1,"100,00 %"
76561198093153432,"205,85",441,"100,00 %"
76561198093252101,"204,95",529,"100,00 %"
76561198093270673,"22,97",9,"100,00 %"
76561198093437165,"94,95",49,"100,00 %"
76561198093554508,"19,99",256,"100,00 %"
76561198093567765,"29,98",25,"100,00 %"
76561198093575256,"19,99",9,"100,00 %"
76561198093584099,"79,96",49,"100,00 %"
76561198093659817,"0,00",121,"100,00 %"
76561198093739334,"164,90",361,"100,00 %"
76561198093918831,,1,"100,00 %"
76561198093923987,"0,00",64,"100,00 %"
76561198093939281,"54,96",729,"100,00 %"
76561198094106185,"54,95",676,"100,00 %"
76561198094111845,"219,86",529,"100,00 %"
76561198094304449,"257,82",7938,"100,00 %"
76561198094411433,"0,00",64,"100,00 %"
76561198094417840,,1,"100,00 %"
76561198094438867,"14,99",9,"100,00 %"
76561198094457617,"0,00",4,"100,00 %"
76561198094667834,"54,96",225,"100,00 %"
76561198094673744,"0,00",841,"100,00 %"
76561198094860495,"59,96",121,"100,00 %"
76561198095119764,"280,78",2401,"100,00 %"
76561198095160053,"54,97",121,"100,00 %"
76561198095222559,"66,94",64,"100,00 %"
76561198095271002,"0,00",144,"100,00 %"
76561198095526354,"189,96",441,"100,00 %"
76561198095647149,"0,00",16,"100,00 %"
76561198095685006,"40,97",36,"100,00 %"
76561198095735150,"49,97",144,"100,00 %"
76561198095874772,"0,00",25,"100,00 %"
76561198095919114,"0,00",16,"100,00 %"
76561198095980012,"0,00",9,"100,00 %"
76561198096038814,"0,00",64,"100,00 %"
76561198096044900,"14,99",169,"100,00 %"
76561198096079340,"19,99",32,"100,00 %"
76561198096157048,"349,83",729,"100,00 %"
76561198096223608,"79,95",256,"100,00 %"
76561198096268241,,1,"100,00 %"
76561198096447440,"19,99",16,"100,00 %"
76561198096596971,"19,99",36,"100,00 %"
76561198096785215,"34,98",64,"100,00 %"
76561198096840499,"264,93",144,"100,00 %"
76561198097058385,"374,89",961,"100,00 %"
76561198097679918,"79,98",16,"100,00 %"
76561198097730733,"119,92",1089,"100,00 %"
76561198097747661,"179,90",1521,"100,00 %"
76561198097857735,"0,00",144,"100,00 %"
76561198097927244,"149,96",256,"100,00 %"
76561198097976037,"319,84",3025,"100,00 %"
76561198098151600,"0,00",1,"100,00 %"
76561198098180949,"59,95",64,"100,00 %"
76561198098270025,,1,"100,00 %"
76561198098284386,"19,99",169,"100,00 %"
76561198098315991,"29,98",484,"100,00 %"
76561198098351244,"14,99",196,"100,00 %"
76561198098420905,"19,98",625,"100,00 %"
76561198098469568,"4,99",81,"100,00 %"
76561198098502812,"24,98",4,"100,00 %"
76561198098852080,"114,91",576,"100,00 %"
76561198099095906,,1,"100,00 %"
76561198099648608,"284,77",676,"100,00 %"
76561198099667653,,1,"100,00 %"
76561198099819209,"19,99",16,"100,00 %"
76561198099994082,"0,00",4,"100,00 %"
76561198100038504,"49,98",36,"100,00 %"
76561198100093966,"74,97",144,"100,00 %"
76561198100183135,"49,97",64,"100,00 %"
76561198100337291,"0,00",16,"100,00 %"
76561198100425425,"59,96",225,"100,00 %"
76561198100513560,"119,98",49,"100,00 %"
76561198101120664,"14,99",9,"100,00 %"
76561198101297054,"99,93",16,"100,00 %"
76561198101303629,"14,99",9,"100,00 %"
76561198101467306,"384,86",576,"100,00 %"
76561198101520512,"35,97",196,"100,00 %"
76561198101561408,"0,00",169,"100,00 %"
76561198101694792,"84,95",729,"100,00 %"
76561198101779888,"0,00",16,"100,00 %"
76561198101854307,"574,69",1849,"100,00 %"
76561198101913613,"180,90",36,"100,00 %"
76561198101957454,"19,99",9,"100,00 %"
76561198102341743,,1,"100,00 %"
76561198102410011,"35,97",484,"100,00 %"
76561198102434744,"49,88",676,"100,00 %"
76561198102675608,"54,97",100,"100,00 %"
76561198103124541,"24,99",4,"100,00 %"
76561198103211891,"144,95",196,"100,00 %"
76561198103227480,"0,99",324,"100,00 %"
76561198103892586,"19,99",169,"100,00 %"
76561198104248286,"49,96",100,"100,00 %"
76561198104690534,"9,99",9,"100,00 %"
76561198105111413,"169,90",484,"100,00 %"
76561198105310142,"746,57",7569,"100,00 %"
76561198105569576,"19,99",9,"100,00 %"
76561198105634729,"254,85",2304,"100,00 %"
76561198105832212,"24,97",81,"100,00 %"
76561198106282354,"0,00",144,"100,00 %"
76561198106493462,"4,99",25,"100,00 %"
76561198106518490,,1,"100,00 %"
76561198106612756,"0,00",16,"100,00 %"
76561198106652718,"0,00",64,"100,00 %"
76561198106773321,"59,99",2116,"100,00 %"
76561198106773483,"9,99",1,"100,00 %"
76561198106774431,"136,94",81,"100,00 %"
76561198106876307,"54,97",16,"100,00 %"
76561198106964437,"9,99",36,"100,00 %"
76561198107009450,,4,"100,00 %"
76561198107034938,,1,"100,00 %"
76561198107092168,"9,99",25,"100,00 %"
76561198107222103,,1,"100,00 %"
76561198107235245,"74,95",169,"100,00 %"
76561198107369211,"0,00",9,"100,00 %"
76561198107406338,"127,92",1225,"100,00 %"
76561198107959954,,1,"100,00 %"
76561198108557897,"99,94",576,"100,00 %"
76561198110067989,"0,00",25,"100,00 %"
76561198110846518,"0,00",1444,"100,00 %"
76561198111679836,"124,92",529,"100,00 %"
76561198112604776,"0,00",64,"100,00 %"
76561198112634217,"784,47",3969,"100,00 %"
76561198115520810,"19,99",16,"100,00 %"
76561198115910259,,1,"100,00 %"
76561198116384470,"0,00",4,"100,00 %"
76561198117057917,"19,98",6400,"100,00 %"
76561198119070365,"169,92",100,"100,00 %"
76561198119335225,"284,74",11236,"100,00 %"
76561198119882936,"153,93",121,"100,00 %"
